"Total Registered Voters by Status
as of 00:17 on 11/01/2024"         ,            ,            ,              ,         ,             ,                           ,          ,          ,              ,         ,               ,                      ,         ,         ,              ,    ,             ,            ,            , , , , , , , , , ,
Active Registered Voters           ,            ,            ,              ,         ,             ,Inactive Registered Voters ,          ,          ,              ,         ,               ,Pre-registered Voters ,         ,         ,              ,    ,             ,Total       ,            , , , , , , , , , ,
County                             ,Female      ,Male        ,Not Disclosed ,X        ,Active Total ,County                     ,Female    ,Male      ,Not Disclosed ,X        ,Inactive Total ,County                ,Female   ,Male     ,Not Disclosed ,X   ,Prereg Total ,County      ,Grand Total , , , , , , , , , ,
Lincoln                            ,"1,591"     ,"1,572"     ,13            ,5        ,"3,181"      ,Lincoln                    ,237       ,252       ,1             ,4        ,494            ,Lincoln               ,38       ,34       ,0             ,0   ,72           ,Lincoln     ,"3,747"     , , , , , , , , , ,
Logan                              ,"6,302"     ,"6,184"     ,45            ,61       ,"12,592"     ,Logan                      ,661       ,703       ,1             ,15       ,"1,380"        ,Logan                 ,67       ,73       ,0             ,0   ,140          ,Logan       ,"14,112"    , , , , , , , , , ,
Mesa                               ,"58,565"    ,"55,449"    ,371           ,348      ,"114,733"    ,Mesa                       ,"6,595"   ,"7,360"   ,10            ,143      ,"14,108"       ,Mesa                  ,869      ,920      ,4             ,2   ,"1,795"      ,Mesa        ,"130,636"   , , , , , , , , , ,
Mineral                            ,422         ,440         ,1             ,0        ,863          ,Mineral                    ,72        ,68        ,0             ,2        ,142            ,Mineral               ,2        ,2        ,0             ,0   ,4            ,Mineral     ,"1,009"     , , , , , , , , , ,
Moffat                             ,"4,292"     ,"4,595"     ,13            ,13       ,"8,913"      ,Moffat                     ,614       ,686       ,0             ,7        ,"1,307"        ,Moffat                ,81       ,101      ,0             ,0   ,182          ,Moffat      ,"10,402"    , , , , , , , , , ,
Montezuma                          ,"10,072"    ,"9,646"     ,56            ,73       ,"19,847"     ,Montezuma                  ,"1,311"   ,"1,354"   ,4             ,27       ,"2,696"        ,Montezuma             ,159      ,159      ,0             ,1   ,319          ,Montezuma   ,"22,862"    , , , , , , , , , ,
Montrose                           ,"16,082"    ,"15,140"    ,91            ,34       ,"31,347"     ,Montrose                   ,"1,640"   ,"1,719"   ,1             ,21       ,"3,381"        ,Montrose              ,270      ,304      ,0             ,1   ,575          ,Montrose    ,"35,303"    , , , , , , , , , ,
Morgan                             ,"9,185"     ,"9,192"     ,41            ,73       ,"18,491"     ,Morgan                     ,836       ,934       ,0             ,25       ,"1,795"        ,Morgan                ,152      ,159      ,2             ,0   ,313          ,Morgan      ,"20,599"    , , , , , , , , , ,
Otero                              ,"6,392"     ,"5,990"     ,15            ,19       ,"12,416"     ,Otero                      ,739       ,755       ,2             ,1        ,"1,497"        ,Otero                 ,114      ,138      ,0             ,0   ,252          ,Otero       ,"14,165"    , , , , , , , , , ,
Ouray                              ,"2,329"     ,"2,361"     ,11            ,20       ,"4,721"      ,Ouray                      ,203       ,234       ,0             ,6        ,443            ,Ouray                 ,26       ,16       ,0             ,0   ,42           ,Ouray       ,"5,206"     , , , , , , , , , ,
