"Total Registered Voters by Party & Status 
as of 00:17 on 11/01/2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active registered voters,,,,,,,,,,,,,Inactive registered voters,,,,,,,,,,,,,Pre-registered voters,,,,,,,,,,,,,All,
County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Active Total,County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Inactive Total,County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Prereg Total,County,Grand Total
La Plata,116,40,22,"10,442",0,119,372,188,"9,781","22,503",23,"43,606",La Plata,37,6,0,"1,889",0,51,96,3,"1,812","4,283",15,"8,192",La Plata,0,0,0,35,0,0,0,4,51,639,0,729,La Plata,"52,527"
Lake,17,6,4,"1,590",0,25,66,44,789,"2,660",3,"5,204",Lake,5,1,0,277,0,7,18,0,174,663,1,"1,146",Lake,0,0,0,4,0,0,0,0,4,68,0,76,Lake,"6,426"
Larimer,636,187,246,"67,191",21,748,"2,736","1,287","62,236","133,373",137,"268,798",Larimer,143,36,6,"7,165",1,139,498,20,"6,986","18,628",45,"33,667",Larimer,4,1,3,262,0,4,7,45,452,"3,410",2,"4,190",Larimer,"306,655"
Las Animas,42,14,2,"3,064",0,22,82,44,"2,589","4,687",12,"10,558",Las Animas,10,5,0,487,0,6,20,1,545,"1,037",0,"2,111",Las Animas,0,0,0,3,0,0,0,1,8,120,0,132,Las Animas,"12,801"
Lincoln,16,2,3,298,0,2,32,10,"1,691","1,127",0,"3,181",Lincoln,0,0,1,44,0,0,7,0,210,232,0,494,Lincoln,0,0,0,0,0,0,0,0,19,53,0,72,Lincoln,"3,747"
Logan,39,13,3,"1,338",1,10,93,56,"6,077","4,958",4,"12,592",Logan,7,5,0,132,0,3,20,2,463,742,6,"1,380",Logan,0,0,0,1,0,0,0,0,29,110,0,140,Logan,"14,112"
Mesa,493,116,70,"15,404",10,201,"1,224",637,"41,488","55,003",87,"114,733",Mesa,93,21,3,"1,837",0,45,172,7,"4,267","7,643",20,"14,108",Mesa,3,0,2,28,0,2,2,21,295,"1,440",2,"1,795",Mesa,"130,636"
Mineral,4,0,1,192,0,1,1,1,285,378,0,863,Mineral,0,0,0,23,0,0,2,0,44,73,0,142,Mineral,0,0,0,0,0,0,0,0,1,3,0,4,Mineral,"1,009"
Moffat,55,12,2,623,0,10,77,33,"4,107","3,988",6,"8,913",Moffat,6,2,0,81,0,1,15,0,498,703,1,"1,307",Moffat,0,0,0,0,0,0,0,0,35,147,0,182,Moffat,"10,402"
Montezuma,77,23,11,"3,118",0,44,156,81,"7,398","8,920",19,"19,847",Montezuma,18,2,0,450,0,9,20,1,810,"1,386",0,"2,696",Montezuma,0,3,0,2,0,0,2,0,66,245,1,319,Montezuma,"22,862"
Montrose,144,31,7,"3,993",0,44,235,125,"12,337","14,396",35,"31,347",Montrose,16,3,0,354,0,12,36,1,"1,240","1,716",3,"3,381",Montrose,0,0,0,5,0,0,1,3,84,482,0,575,Montrose,"35,303"
Morgan,97,51,10,"2,668",0,26,139,105,"6,936","8,438",21,"18,491",Morgan,14,2,1,230,0,5,22,0,552,968,1,"1,795",Morgan,1,0,0,1,0,0,2,1,26,282,0,313,Morgan,"20,599"
Otero,62,30,7,"2,887",0,18,65,73,"4,042","5,211",21,"12,416",Otero,13,5,0,307,0,3,7,4,380,776,2,"1,497",Otero,0,0,0,7,0,0,0,0,46,199,0,252,Otero,"14,165"
Ouray,6,2,1,"1,040",0,15,41,9,"1,076","2,530",1,"4,721",Ouray,3,0,1,96,0,0,7,1,117,218,0,443,Ouray,0,0,0,2,0,0,0,0,1,39,0,42,Ouray,"5,206"
